,filepath,type,id,hog_features,glcm_features
1481,../NEU-DET/validation/images\crazing\crazing_282.jpg,crazing,282,[0.22677449 0.22677449 0.22677449 ... 0.11678142 0.1195978  0.17542148],"[4.03390754e+02 5.35726068e+02 3.31840101e+02 4.94684452e+02
 6.71295480e+02 5.35726068e+02 6.03737298e+02 4.94684452e+02
 9.46978903e+02 9.72985210e+02 8.86161888e+02 9.59427916e+02
 1.15884763e+03 1.13711617e+03 1.02816503e+03 1.14523592e+03
 1.58456784e+01 1.82895381e+01 1.44150754e+01 1.75521073e+01
 2.03453788e+01 1.82895381e+01 1.94338131e+01 1.75521073e+01
 2.40543112e+01 2.44917674e+01 2.33632143e+01 2.42733387e+01
 2.66106510e+01 2.64360718e+01 2.50572135e+01 2.65721915e+01
 6.45665410e-02 5.51703321e-02 6.93879548e-02 5.73738377e-02
 5.08915865e-02 5.51703321e-02 5.21631698e-02 5.73738377e-02
 4.43711315e-02 4.14116727e-02 4.29136408e-02 4.28218300e-02
 3.93910342e-02 3.81665145e-02 4.20737664e-02 3.86791727e-02
 1.47530341e-02 1.39382871e-02 1.53089217e-02 1.41466249e-02
 1.34231721e-02 1.39382871e-02 1.36590720e-02 1.41466249e-02
 1.27695072e-02 1.26971746e-02 1.28533715e-02 1.27451005e-02
 1.24489381e-02 1.24790939e-02 1.26547362e-02 1.24604816e-02
 7.40930550e-01 6.55853177e-01 7.86400289e-01 6.82222385e-01
 5.69807142e-01 6.55853177e-01 6.11205041e-01 6.82222385e-01
 3.94805499e-01 3.76302669e-01 4.28632825e-01 3.84975701e-01
 2.63489511e-01 2.74556375e-01 3.37409368e-01 2.69291619e-01]"
951,../NEU-DET/train/images\pitted_surface\pitted_surface_91.jpg,pitted,91,[0.24200548 0.09870148 0.08942003 ... 0.21871641 0.23379637 0.21961258],"[2.96538442e+01 3.87298806e+01 2.19256281e+01 4.70442918e+01
 7.02342677e+01 3.87298806e+01 5.73659848e+01 4.70442918e+01
 1.25051505e+02 1.18982813e+02 1.07121709e+02 1.23049061e+02
 1.67653750e+02 1.65737432e+02 1.37284010e+02 1.45820783e+02
 3.84133166e+00 4.38690942e+00 3.26633166e+00 4.74030959e+00
 5.68608586e+00 4.38690942e+00 5.13138889e+00 4.74030959e+00
 7.42716837e+00 7.32685717e+00 6.83308673e+00 7.25679610e+00
 8.98734375e+00 9.08056116e+00 7.84234375e+00 8.09504198e+00
 2.71114105e-01 2.42637191e-01 3.08336097e-01 2.36843189e-01
 2.11835417e-01 2.42637191e-01 2.28645500e-01 2.36843189e-01
 1.77750636e-01 1.76225950e-01 1.93550116e-01 1.88475688e-01
 1.33539389e-01 1.22136824e-01 1.68681173e-01 1.67429620e-01
 3.38299485e-02 3.17287028e-02 3.66439004e-02 3.10533028e-02
 2.88288241e-02 3.17287028e-02 3.01484695e-02 3.10533028e-02
 2.60334164e-02 2.60074797e-02 2.71081540e-02 2.67413646e-02
 2.32463122e-02 2.30121238e-02 2.52806177e-02 2.51490428e-02
 9.68281255e-01 9.58381345e-01 9.76672487e-01 9.49435182e-01
 9.24089676e-01 9.58381345e-01 9.38705552e-01 9.49435182e-01
 8.62038318e-01 8.68424612e-01 8.84649936e-01 8.63693619e-01
 8.08324288e-01 8.09782717e-01 8.50091442e-01 8.31427489e-01]"
877,../NEU-DET/train/images\pitted_surface\pitted_surface_240.jpg,pitted,240,[0.24115994 0.08670547 0.13490702 ... 0.10769835 0.0801039  0.09252303],"[1.10672085e+02 1.43349410e+02 6.57975377e+01 1.46038029e+02
 2.46459419e+02 1.43349410e+02 1.72093131e+02 1.46038029e+02
 3.87719490e+02 3.81497745e+02 3.25755128e+02 3.88686825e+02
 5.25355339e+02 5.27508901e+02 4.81917292e+02 5.25902726e+02
 8.18655779e+00 9.26592763e+00 6.28482412e+00 9.37976314e+00
 1.20591667e+01 9.26592763e+00 1.01150000e+01 9.37976314e+00
 1.45529592e+01 1.45283311e+01 1.35253316e+01 1.46522456e+01
 1.67286719e+01 1.67706186e+01 1.61148438e+01 1.67538793e+01
 1.25863168e-01 1.12739104e-01 1.61517668e-01 1.11998325e-01
 8.90537292e-02 1.12739104e-01 1.05451158e-01 1.11998325e-01
 8.00232554e-02 7.82632224e-02 8.41103574e-02 7.75527791e-02
 7.46961151e-02 7.31224955e-02 7.35232776e-02 7.15847366e-02
 2.37231040e-02 2.24705408e-02 2.71695013e-02 2.23337707e-02
 1.99522358e-02 2.24705408e-02 2.17207758e-02 2.23337707e-02
 1.89307459e-02 1.88682561e-02 1.94993265e-02 1.89484391e-02
 1.81300505e-02 1.81957127e-02 1.85189120e-02 1.82280813e-02
 9.06638060e-01 8.78691096e-01 9.44189945e-01 8.76418229e-01
 7.92504693e-01 8.78691096e-01 8.53538219e-01 8.76418229e-01
 6.74678958e-01 6.76155762e-01 7.20871084e-01 6.70065185e-01
 5.61751135e-01 5.49477810e-01 5.81499127e-01 5.50953662e-01]"
1659,../NEU-DET/validation/images\pitted_surface\pitted_surface_280.jpg,pitted,280,[0.25507566 0.16309731 0.11518489 ... 0.10215993 0.12020213 0.        ],"[ 3.43155779  5.15926365  2.97623116  5.61124719  9.48214646  5.15926365
  7.39994949  5.61124719 21.9684949  20.74346157 15.53642857 19.95088768
 39.58721354 40.02099054 26.45145833 32.49628016  1.22477387  1.56299083
  1.16035176  1.62160046  2.09815657  1.56299083  1.86843434  1.62160046
  3.14298469  3.05699709  2.59602041  2.95941663  4.30075521  4.29870337
  3.31260417  3.81023488  0.56978127  0.49359915  0.57592541  0.48841438
  0.42206394  0.49359915  0.44618957  0.48841438  0.32871378  0.33299045
  0.37791694  0.35087826  0.24988067  0.25036     0.32851017  0.29108824
  0.08830341  0.07801546  0.08766019  0.07758389  0.07039953  0.07801546
  0.07204482  0.07758389  0.06000604  0.06028606  0.06429657  0.06179962
  0.05245306  0.0526264   0.0589939   0.05555406  0.99472783  0.99206937
  0.99547003  0.99137405  0.98529016  0.99206937  0.98873111  0.99137405
  0.96526574  0.96747797  0.97631489  0.96869542  0.93485788  0.93537326
  0.95960835  0.94732012]"
41,../NEU-DET/train/images\crazing\crazing_136.jpg,crazing,136,[0.24316506 0.14627327 0.16374397 ... 0.0649954  0.08035778 0.06694245],"[2.35530704e+02 3.04752885e+02 1.85838266e+02 2.70492513e+02
 3.92936086e+02 3.04752885e+02 3.20810884e+02 2.70492513e+02
 5.47177806e+02 5.40392924e+02 4.68205689e+02 5.25243706e+02
 6.40357552e+02 6.41417632e+02 5.62591380e+02 6.23683362e+02
 1.20772864e+01 1.37104871e+01 1.06808291e+01 1.29303805e+01
 1.55216414e+01 1.37104871e+01 1.40787121e+01 1.29303805e+01
 1.82181122e+01 1.81733361e+01 1.70050255e+01 1.79068000e+01
 1.96568229e+01 1.96672335e+01 1.84982552e+01 1.94185620e+01
 8.27302656e-02 7.57519462e-02 9.48824984e-02 7.82689932e-02
 6.71564041e-02 7.57519462e-02 7.14132400e-02 7.82689932e-02
 5.82445554e-02 5.80308141e-02 6.17184912e-02 5.78548853e-02
 5.36614094e-02 5.36742106e-02 5.52518324e-02 5.35423668e-02
 1.83706318e-02 1.73412179e-02 1.93277578e-02 1.77832821e-02
 1.65070023e-02 1.73412179e-02 1.71258672e-02 1.77832821e-02
 1.55789461e-02 1.55260163e-02 1.58476484e-02 1.56621457e-02
 1.51772880e-02 1.52245297e-02 1.54294952e-02 1.52527206e-02
 8.22712711e-01 7.70645265e-01 8.60842121e-01 7.96429865e-01
 7.02529101e-01 7.70645265e-01 7.59870628e-01 7.96429865e-01
 5.82926307e-01 5.89415872e-01 6.49793554e-01 6.00925362e-01
 5.04627211e-01 5.09518573e-01 5.80129808e-01 5.22828435e-01]"
1776,../NEU-DET/validation/images\scratches\scratches_277.jpg,scratches,277,[0.20333062 0.07708075 0.15515394 ... 0.08977669 0.25654832 0.        ],"[4.34510050e+00 5.38766698e+01 5.38810804e+01 5.85092043e+01
 9.94924242e+00 5.38766698e+01 1.59191793e+02 5.85092043e+01
 1.91120663e+01 2.46369141e+02 3.11831403e+02 2.53342549e+02
 3.36371354e+01 3.88126900e+02 4.66585182e+02 3.91802290e+02
 1.29148241e+00 3.38173278e+00 3.24841709e+00 3.54220853e+00
 1.93727273e+00 3.38173278e+00 5.48911616e+00 3.54220853e+00
 2.50405612e+00 6.78620938e+00 7.53482143e+00 6.91120616e+00
 3.17817708e+00 9.12562440e+00 1.05784115e+01 9.28204379e+00
 5.58792531e-01 4.14727460e-01 4.50816461e-01 4.04619753e-01
 4.44194396e-01 4.14727460e-01 3.41196934e-01 4.04619753e-01
 3.88348546e-01 2.95796496e-01 2.73148711e-01 2.93676209e-01
 3.41227926e-01 2.18275637e-01 1.94428322e-01 2.30766009e-01
 9.38233682e-02 7.58414748e-02 8.08048404e-02 7.42358597e-02
 7.80540033e-02 7.58414748e-02 6.56058905e-02 7.42358597e-02
 7.10494288e-02 5.95536566e-02 5.62674842e-02 5.89202465e-02
 6.50150614e-02 5.07150983e-02 4.75514986e-02 5.11024370e-02
 9.95375310e-01 9.42732737e-01 9.42805795e-01 9.37808018e-01
 9.89389621e-01 9.42732737e-01 8.31244724e-01 9.37808018e-01
 9.79526190e-01 7.37745545e-01 6.70397017e-01 7.30298989e-01
 9.63624008e-01 5.85668719e-01 5.10154442e-01 5.81605766e-01]"
1083,../NEU-DET/train/images\rolled-in_scale\rolled-in_scale_21.jpg,rolled-in,21,[0.23675249 0.1471195  0.17065746 ... 0.10880329 0.08379424 0.06446684],"[6.71512814e+01 1.12188278e+02 1.03631256e+02 1.10925507e+02
 9.20686616e+01 1.12188278e+02 1.63840253e+02 1.10925507e+02
 1.49138036e+02 2.18887681e+02 2.40298163e+02 2.22763380e+02
 2.46155755e+02 2.94289191e+02 3.24421901e+02 3.04116192e+02
 6.47404523e+00 8.27792227e+00 7.94015075e+00 8.24173632e+00
 7.59532828e+00 8.27792227e+00 9.82186869e+00 8.24173632e+00
 9.55073980e+00 1.12813007e+01 1.17905102e+01 1.14238965e+01
 1.21622656e+01 1.31528855e+01 1.37963281e+01 1.34181369e+01
 1.47142356e-01 1.19916240e-01 1.23270362e-01 1.17030241e-01
 1.25965938e-01 1.19916240e-01 1.01510364e-01 1.17030241e-01
 1.04229256e-01 9.22595686e-02 8.72089416e-02 8.90505093e-02
 8.26655562e-02 7.87287441e-02 7.72050910e-02 7.73848932e-02
 2.99492112e-02 2.71064046e-02 2.76179231e-02 2.71492907e-02
 2.80632769e-02 2.71064046e-02 2.54052453e-02 2.71492907e-02
 2.56184692e-02 2.42800636e-02 2.38721949e-02 2.40566626e-02
 2.35965595e-02 2.30213102e-02 2.27470493e-02 2.29334135e-02
 8.55455463e-01 7.58775181e-01 7.77078603e-01 7.61496239e-01
 8.01857547e-01 7.58775181e-01 6.47978564e-01 7.61496239e-01
 6.78910511e-01 5.30318812e-01 4.84695034e-01 5.22200770e-01
 4.71057631e-01 3.70162447e-01 3.03523712e-01 3.50131851e-01]"
721,../NEU-DET/train/images\pitted_surface\pitted_surface_10.jpg,pitted,10,[0.24476941 0.05236558 0.11377126 ... 0.0746148  0.09847506 0.09551614],"[1.22497487e+01 1.90809828e+01 9.05419598e+00 1.51133810e+01
 2.60629293e+01 1.90809828e+01 2.03077778e+01 1.51133810e+01
 3.60898980e+01 3.59453477e+01 3.34610459e+01 3.82754000e+01
 3.61693750e+01 4.32910511e+01 5.42278125e+01 5.48632958e+01
 2.41788945e+00 3.03537789e+00 2.12575377e+00 2.77601576e+00
 3.52257576e+00 3.03537789e+00 3.21454545e+00 2.77601576e+00
 4.15714286e+00 4.17503672e+00 4.17242347e+00 4.42284006e+00
 4.28739583e+00 4.73504092e+00 5.67557292e+00 5.64850143e+00
 3.88592968e-01 3.31217465e-01 4.08842097e-01 3.41328516e-01
 3.01456800e-01 3.31217465e-01 3.09434720e-01 3.41328516e-01
 2.67655737e-01 2.66192260e-01 2.54020469e-01 2.39807678e-01
 2.49093912e-01 2.31437047e-01 1.68991921e-01 1.69934408e-01
 4.09520416e-02 3.65373042e-02 4.20377064e-02 3.70228670e-02
 3.48398604e-02 3.65373042e-02 3.50640702e-02 3.70228670e-02
 3.24523036e-02 3.24599620e-02 3.15647312e-02 3.04753115e-02
 3.08538640e-02 3.00919350e-02 2.64916846e-02 2.59318146e-02
 9.95706453e-01 9.93266818e-01 9.96806937e-01 9.94667099e-01
 9.90859817e-01 9.93266818e-01 9.92791875e-01 9.94667099e-01
 9.87329714e-01 9.87133874e-01 9.87971354e-01 9.86305696e-01
 9.87277453e-01 9.84184237e-01 9.80029691e-01 9.79989539e-01]"
76,../NEU-DET/train/images\crazing\crazing_168.jpg,crazing,168,[0.22950779 0.22950779 0.12306501 ... 0.01151006 0.05375157 0.12762971],"[3.27508241e+02 4.93343931e+02 3.07777186e+02 4.08497285e+02
 5.54175960e+02 4.93343931e+02 5.45788182e+02 4.08497285e+02
 7.76341071e+02 8.37335592e+02 7.82969592e+02 8.09265222e+02
 9.52189271e+02 9.44083909e+02 8.87895286e+02 9.39746652e+02
 1.42861809e+01 1.75038257e+01 1.38249749e+01 1.59348249e+01
 1.84693939e+01 1.75038257e+01 1.83841919e+01 1.59348249e+01
 2.18401020e+01 2.27077482e+01 2.19466327e+01 2.22658662e+01
 2.40987500e+01 2.41061749e+01 2.33478906e+01 2.40702785e+01
 6.87760129e-02 5.78000717e-02 7.25982941e-02 6.21216506e-02
 5.68034379e-02 5.78000717e-02 5.58589320e-02 6.21216506e-02
 4.70653700e-02 4.48543723e-02 4.74305963e-02 4.65607336e-02
 4.31747759e-02 4.23631549e-02 4.57577077e-02 4.31062365e-02
 1.60948232e-02 1.48484642e-02 1.62956019e-02 1.54225580e-02
 1.45823549e-02 1.48484642e-02 1.45651478e-02 1.54225580e-02
 1.38276602e-02 1.36347915e-02 1.37693439e-02 1.37869671e-02
 1.34986798e-02 1.35026960e-02 1.35699824e-02 1.34562529e-02
 7.46874198e-01 6.18733424e-01 7.62283937e-01 6.84300701e-01
 5.71576860e-01 6.18733424e-01 5.78590664e-01 6.84300701e-01
 4.00384777e-01 3.53074031e-01 3.94690649e-01 3.74658764e-01
 2.63630357e-01 2.68306011e-01 3.12552267e-01 2.71442415e-01]"
258,../NEU-DET/train/images\inclusion\inclusion_115.jpg,inclusion,115,[0.2603225  0.19916429 0.10190947 ... 0.17548497 0.15401092 0.03806596],"[9.00384422e+00 1.19689402e+01 4.54781407e+00 1.08142471e+01
 2.32055051e+01 1.19689402e+01 9.32664141e+00 1.08142471e+01
 5.18665051e+01 4.16332036e+01 1.57587245e+01 3.95444356e+01
 9.50204948e+01 7.88853757e+01 2.85053646e+01 7.63971198e+01
 2.17454774e+00 2.57958132e+00 1.58364322e+00 2.46324588e+00
 3.46186869e+00 2.57958132e+00 2.33209596e+00 2.46324588e+00
 5.06538265e+00 4.58411709e+00 3.00362245e+00 4.50977866e+00
 6.84476563e+00 6.25188649e+00 3.99270833e+00 6.22180891e+00
 3.93845286e-01 3.39327318e-01 4.63188085e-01 3.47945981e-01
 2.84935004e-01 3.39327318e-01 3.53042553e-01 3.47945981e-01
 2.20149589e-01 2.35057462e-01 2.98596000e-01 2.33721724e-01
 1.75591024e-01 1.88548468e-01 2.42570168e-01 1.83601935e-01
 5.98936611e-02 5.48771625e-02 6.86545295e-02 5.58490438e-02
 4.84885442e-02 5.48771625e-02 5.70124820e-02 5.58490438e-02
 4.14136773e-02 4.32114687e-02 5.09518066e-02 4.30901713e-02
 3.65565084e-02 3.79730098e-02 4.48177121e-02 3.75648065e-02
 9.74939739e-01 9.66608813e-01 9.87326785e-01 9.69832196e-01
 9.35344136e-01 9.66608813e-01 9.73951624e-01 9.69832196e-01
 8.55222924e-01 8.83039734e-01 9.55787902e-01 8.88959916e-01
 7.34174608e-01 7.76153270e-01 9.19373799e-01 7.83617379e-01]"
547,../NEU-DET/train/images\patches\patches_16.jpg,patches,16,[0.26164987 0.22487904 0.11829529 ... 0.11169459 0.13555564 0.23276019],"[3.11353618e+02 3.75317770e+02 2.41852965e+02 3.65300245e+02
 4.89463662e+02 3.75317770e+02 3.92535985e+02 3.65300245e+02
 7.61618265e+02 7.02396789e+02 5.52840434e+02 7.20607900e+02
 1.39164263e+03 1.14612159e+03 7.28385417e+02 1.21196501e+03
 1.30804523e+01 1.43926416e+01 1.14057789e+01 1.41712836e+01
 1.65654798e+01 1.43926416e+01 1.46780051e+01 1.41712836e+01
 2.08524490e+01 2.00365637e+01 1.75357908e+01 2.02890567e+01
 2.79640365e+01 2.56122330e+01 2.03553125e+01 2.61945212e+01
 1.21912406e-01 1.17252196e-01 1.33432700e-01 1.18927220e-01
 1.05347060e-01 1.17252196e-01 1.14929203e-01 1.18927220e-01
 8.89405137e-02 9.11074126e-02 9.98329448e-02 8.87553002e-02
 7.49833674e-02 7.60365531e-02 8.85119712e-02 7.61859340e-02
 4.27521404e-02 4.26737923e-02 4.40898220e-02 4.36226924e-02
 3.97459947e-02 4.26737923e-02 4.13632856e-02 4.36226924e-02
 3.64261507e-02 3.54892815e-02 3.73707555e-02 3.60956617e-02
 3.37944987e-02 3.30579605e-02 3.53701537e-02 3.34260985e-02
 9.70116599e-01 9.63915733e-01 9.76661029e-01 9.64878297e-01
 9.53190375e-01 9.63915733e-01 9.62052006e-01 9.64878297e-01
 9.27605862e-01 9.32698997e-01 9.46360457e-01 9.30940562e-01
 8.68767593e-01 8.90408541e-01 9.28736130e-01 8.83991460e-01]"
1078,../NEU-DET/train/images\rolled-in_scale\rolled-in_scale_205.jpg,rolled-in,205,[0.23493529 0.11411507 0.15537987 ... 0.17766164 0.20662563 0.07981413],"[7.63153769e+01 1.36352062e+02 1.25297538e+02 1.35357541e+02
 1.16200833e+02 1.36352062e+02 1.94824747e+02 1.35357541e+02
 1.95421939e+02 2.43643949e+02 2.56069617e+02 2.53259811e+02
 2.89995208e+02 3.09388803e+02 3.27596745e+02 3.21453449e+02
 6.89567839e+00 9.11416378e+00 8.71809045e+00 9.06886190e+00
 8.47477273e+00 9.11416378e+00 1.07229798e+01 9.06886190e+00
 1.08751531e+01 1.20131413e+01 1.21670153e+01 1.21733103e+01
 1.31563021e+01 1.35217079e+01 1.37597656e+01 1.37433840e+01
 1.39651474e-01 1.10717961e-01 1.14663719e-01 1.11337829e-01
 1.17278754e-01 1.10717961e-01 9.78377919e-02 1.11337829e-01
 9.24233762e-02 8.60527217e-02 8.82705833e-02 8.70230594e-02
 8.03845242e-02 7.88283452e-02 7.79546486e-02 7.57824890e-02
 2.98669643e-02 2.65660539e-02 2.71167054e-02 2.66360915e-02
 2.73764279e-02 2.65660539e-02 2.50407025e-02 2.66360915e-02
 2.47632677e-02 2.39709794e-02 2.39198262e-02 2.38784277e-02
 2.32658573e-02 2.29456161e-02 2.30898772e-02 2.29638694e-02
 8.76574779e-01 7.79753822e-01 7.97305629e-01 7.81365568e-01
 8.12247406e-01 7.79753822e-01 6.85044608e-01 7.81365568e-01
 6.84567021e-01 6.07735822e-01 5.86264342e-01 5.92231826e-01
 5.31152843e-01 5.01901748e-01 4.70809524e-01 4.82422410e-01]"
921,../NEU-DET/train/images\pitted_surface\pitted_surface_64.jpg,pitted,64,[0.24799859 0.16360195 0.08571175 ... 0.2256728  0.2256728  0.06577619],"[4.49948995e+01 5.37038206e+01 3.14459045e+01 7.25464508e+01
 1.02985303e+02 5.37038206e+01 8.10438889e+01 7.25464508e+01
 1.40835663e+02 1.39730861e+02 1.34213163e+02 1.40808189e+02
 1.39744792e+02 1.51568764e+02 1.43168255e+02 1.39699038e+02
 5.16173367e+00 5.65306432e+00 4.32113065e+00 6.58155097e+00
 7.84585859e+00 5.65306432e+00 6.96944444e+00 6.58155097e+00
 9.19688776e+00 9.19217192e+00 9.03801020e+00 9.21608390e+00
 9.17192708e+00 9.68147518e+00 9.43804688e+00 9.24155064e+00
 1.88379954e-01 1.72472783e-01 2.18302085e-01 1.50989712e-01
 1.30115891e-01 1.72472783e-01 1.44213239e-01 1.50989712e-01
 1.11717751e-01 1.09056172e-01 1.10599121e-01 1.10908194e-01
 1.12547803e-01 1.02777359e-01 1.04094086e-01 1.09702607e-01
 2.65827305e-02 2.54915773e-02 2.89602321e-02 2.36778966e-02
 2.17951677e-02 2.54915773e-02 2.30634923e-02 2.36778966e-02
 2.02948705e-02 2.04518931e-02 2.05788067e-02 2.03899717e-02
 2.05063616e-02 2.02013227e-02 2.03043353e-02 2.05926978e-02
 9.71346909e-01 9.65509569e-01 9.79830811e-01 9.53403344e-01
 9.34331515e-01 9.65509569e-01 9.47648339e-01 9.53403344e-01
 9.09960806e-01 9.08854071e-01 9.12213561e-01 9.08063343e-01
 9.10251663e-01 8.98900835e-01 9.03759410e-01 9.06484090e-01]"
816,../NEU-DET/train/images\pitted_surface\pitted_surface_186.jpg,pitted,186,[0.24101336 0.11897281 0.09370682 ... 0.10827448 0.15157829 0.09328533],"[5.44630905e+01 8.22489079e+01 4.53180402e+01 8.15361481e+01
 1.29178460e+02 8.22489079e+01 1.09828687e+02 8.15361481e+01
 1.99685765e+02 1.96302481e+02 1.72390357e+02 1.96860677e+02
 2.38145781e+02 2.22311351e+02 1.92974844e+02 2.29607875e+02
 5.48560302e+00 6.77167243e+00 5.04020101e+00 6.70339133e+00
 8.38664141e+00 6.77167243e+00 7.75696970e+00 6.70339133e+00
 1.04217857e+01 1.03865341e+01 9.66852041e+00 1.03118864e+01
 1.15468229e+01 1.11855670e+01 1.01629688e+01 1.13428101e+01
 1.87024120e-01 1.54933607e-01 1.98188034e-01 1.56661330e-01
 1.28340511e-01 1.54933607e-01 1.39314556e-01 1.56661330e-01
 1.06699319e-01 1.06872331e-01 1.14978052e-01 1.08075505e-01
 9.37607063e-02 9.51439032e-02 1.09342149e-01 9.38837547e-02
 3.34013499e-02 3.01860466e-02 3.42800640e-02 3.04442531e-02
 2.79021321e-02 3.01860466e-02 2.84742855e-02 3.04442531e-02
 2.60695689e-02 2.59564798e-02 2.62983542e-02 2.61739714e-02
 2.56154178e-02 2.57046520e-02 2.61201357e-02 2.56647691e-02
 9.28344268e-01 8.91647107e-01 9.41557731e-01 8.92592753e-01
 8.26477926e-01 8.91647107e-01 8.58194499e-01 8.92592753e-01
 7.20662626e-01 7.29586750e-01 7.76810399e-01 7.29180275e-01
 6.45024458e-01 6.74319375e-01 7.49274227e-01 6.64922342e-01]"
5,../NEU-DET/train/images\crazing\crazing_103.jpg,crazing,103,[0.22678053 0.20128696 0.03296897 ... 0.04941329 0.11378496 0.11271821],"[3.00553090e+02 4.10802859e+02 2.54976985e+02 3.65451453e+02
 5.00225985e+02 4.10802859e+02 4.73140808e+02 3.65451453e+02
 7.02151964e+02 7.45955036e+02 7.03826276e+02 7.34669845e+02
 8.73163229e+02 8.74347300e+02 7.96768542e+02 8.69613136e+02
 1.36599246e+01 1.59183354e+01 1.25095477e+01 1.50672205e+01
 1.75672980e+01 1.59183354e+01 1.70360101e+01 1.50672205e+01
 2.07844133e+01 2.14308794e+01 2.07780102e+01 2.13011930e+01
 2.33146354e+01 2.32794930e+01 2.21278125e+01 2.33016792e+01
 7.40738324e-02 6.29848137e-02 8.15281051e-02 6.62802233e-02
 5.81716634e-02 6.29848137e-02 6.22940495e-02 6.62802233e-02
 4.90084575e-02 4.69943260e-02 4.90943360e-02 4.85535474e-02
 4.32075720e-02 4.42000496e-02 4.82176386e-02 4.48346860e-02
 1.45826838e-02 1.36342071e-02 1.51924890e-02 1.39996497e-02
 1.31179638e-02 1.36342071e-02 1.32394176e-02 1.39996497e-02
 1.23475185e-02 1.21897058e-02 1.22467181e-02 1.21760539e-02
 1.19179966e-02 1.19092778e-02 1.20195058e-02 1.18718876e-02
 8.52058387e-01 7.98067350e-01 8.75289350e-01 8.20360115e-01
 7.52355602e-01 7.98067350e-01 7.68848223e-01 8.20360115e-01
 6.48605377e-01 6.29929589e-01 6.56544123e-01 6.35493558e-01
 5.56809328e-01 5.60530839e-01 6.11608907e-01 5.62977126e-01]"
235,../NEU-DET/train/images\crazing\crazing_95.jpg,crazing,95,[0.24628818 0.23410078 0.24628818 ... 0.25299395 0.1529863  0.1274796 ],"[2.91994548e+02 4.04837757e+02 2.54038291e+02 3.55780990e+02
 4.89091313e+02 4.04837757e+02 4.59364343e+02 3.55780990e+02
 6.92412526e+02 7.11955912e+02 6.74888342e+02 6.95043340e+02
 8.33641250e+02 8.26717079e+02 7.78424792e+02 8.25394091e+02
 1.33849497e+01 1.57439964e+01 1.25024121e+01 1.47844499e+01
 1.72784848e+01 1.57439964e+01 1.67939899e+01 1.47844499e+01
 2.05415051e+01 2.09377464e+01 2.01786990e+01 2.06810018e+01
 2.26585938e+01 2.26053778e+01 2.16489583e+01 2.25321501e+01
 7.44053131e-02 6.55707939e-02 8.28420305e-02 7.01624160e-02
 5.99111971e-02 6.55707939e-02 6.01323703e-02 7.01624160e-02
 5.01009831e-02 4.97387190e-02 5.21955060e-02 4.82281566e-02
 4.54836142e-02 4.51572658e-02 4.89227328e-02 4.54033841e-02
 1.57194090e-02 1.46971951e-02 1.61478055e-02 1.50700570e-02
 1.41828173e-02 1.46971951e-02 1.42720673e-02 1.50700570e-02
 1.33816401e-02 1.32916147e-02 1.34495036e-02 1.33273576e-02
 1.30238538e-02 1.29919554e-02 1.30856589e-02 1.30624062e-02
 8.19156902e-01 7.48952318e-01 8.43042819e-01 7.79377152e-01
 6.95550811e-01 7.48952318e-01 7.15976983e-01 7.79377152e-01
 5.63674050e-01 5.53111329e-01 5.82295757e-01 5.63791969e-01
 4.61562052e-01 4.71199891e-01 5.18178737e-01 4.71738323e-01]"
905,../NEU-DET/train/images\pitted_surface\pitted_surface_5.jpg,pitted,5,[0.24823362 0.12284634 0.07068473 ... 0.05122336 0.19422076 0.23372773],"[4.63743719e+01 5.68862150e+01 2.55437186e+01 6.05898841e+01
 1.01354091e+02 5.68862150e+01 6.31870707e+01 6.05898841e+01
 1.26610051e+02 1.21437244e+02 9.89223980e+01 1.23470612e+02
 1.27638385e+02 1.38512541e+02 1.19254089e+02 1.27124641e+02
 5.07206030e+00 5.68473018e+00 3.76829146e+00 5.79015681e+00
 7.51166667e+00 5.68473018e+00 5.93722222e+00 5.79015681e+00
 8.37836735e+00 8.25236414e+00 7.44653061e+00 8.30413049e+00
 8.43411458e+00 8.96423637e+00 8.44330729e+00 8.59381975e+00
 2.05978020e-01 1.83536403e-01 2.58551563e-01 1.84892931e-01
 1.47691666e-01 1.83536403e-01 1.79607643e-01 1.84892931e-01
 1.34361683e-01 1.35298973e-01 1.45256333e-01 1.33784143e-01
 1.32556948e-01 1.15790570e-01 1.20158108e-01 1.24190138e-01
 2.42674810e-02 2.28539976e-02 2.79550081e-02 2.27081451e-02
 2.01320680e-02 2.28539976e-02 2.25057810e-02 2.27081451e-02
 1.91514788e-02 1.91282946e-02 2.00298318e-02 1.91070227e-02
 1.88755921e-02 1.79143176e-02 1.83716160e-02 1.84552813e-02
 9.81657844e-01 9.77377926e-01 9.89833947e-01 9.75904002e-01
 9.59941556e-01 9.77377926e-01 9.74717909e-01 9.75904002e-01
 9.50037602e-01 9.51272644e-01 9.59994212e-01 9.50437516e-01
 9.49724552e-01 9.43644376e-01 9.50727266e-01 9.48199174e-01]"
