,filepath,type,id
125,../NEU-DET/train/images\crazing\crazing_211.jpg,crazing,211
126,../NEU-DET/train/images\crazing\crazing_212.jpg,crazing,212
127,../NEU-DET/train/images\crazing\crazing_213.jpg,crazing,213
128,../NEU-DET/train/images\crazing\crazing_214.jpg,crazing,214
129,../NEU-DET/train/images\crazing\crazing_215.jpg,crazing,215
130,../NEU-DET/train/images\crazing\crazing_216.jpg,crazing,216
131,../NEU-DET/train/images\crazing\crazing_217.jpg,crazing,217
132,../NEU-DET/train/images\crazing\crazing_218.jpg,crazing,218
133,../NEU-DET/train/images\crazing\crazing_219.jpg,crazing,219
134,../NEU-DET/train/images\crazing\crazing_22.jpg,crazing,22
135,../NEU-DET/train/images\crazing\crazing_220.jpg,crazing,220
136,../NEU-DET/train/images\crazing\crazing_221.jpg,crazing,221
137,../NEU-DET/train/images\crazing\crazing_222.jpg,crazing,222
138,../NEU-DET/train/images\crazing\crazing_223.jpg,crazing,223
139,../NEU-DET/train/images\crazing\crazing_224.jpg,crazing,224
140,../NEU-DET/train/images\crazing\crazing_225.jpg,crazing,225
141,../NEU-DET/train/images\crazing\crazing_226.jpg,crazing,226
142,../NEU-DET/train/images\crazing\crazing_227.jpg,crazing,227
143,../NEU-DET/train/images\crazing\crazing_228.jpg,crazing,228
144,../NEU-DET/train/images\crazing\crazing_229.jpg,crazing,229
145,../NEU-DET/train/images\crazing\crazing_23.jpg,crazing,23
146,../NEU-DET/train/images\crazing\crazing_230.jpg,crazing,230
147,../NEU-DET/train/images\crazing\crazing_231.jpg,crazing,231
148,../NEU-DET/train/images\crazing\crazing_232.jpg,crazing,232
149,../NEU-DET/train/images\crazing\crazing_233.jpg,crazing,233
150,../NEU-DET/train/images\crazing\crazing_234.jpg,crazing,234
151,../NEU-DET/train/images\crazing\crazing_235.jpg,crazing,235
152,../NEU-DET/train/images\crazing\crazing_236.jpg,crazing,236
153,../NEU-DET/train/images\crazing\crazing_237.jpg,crazing,237
154,../NEU-DET/train/images\crazing\crazing_238.jpg,crazing,238
155,../NEU-DET/train/images\crazing\crazing_239.jpg,crazing,239
156,../NEU-DET/train/images\crazing\crazing_24.jpg,crazing,24
157,../NEU-DET/train/images\crazing\crazing_240.jpg,crazing,240
158,../NEU-DET/train/images\crazing\crazing_25.jpg,crazing,25
159,../NEU-DET/train/images\crazing\crazing_26.jpg,crazing,26
160,../NEU-DET/train/images\crazing\crazing_27.jpg,crazing,27
161,../NEU-DET/train/images\crazing\crazing_28.jpg,crazing,28
162,../NEU-DET/train/images\crazing\crazing_29.jpg,crazing,29
163,../NEU-DET/train/images\crazing\crazing_3.jpg,crazing,3
164,../NEU-DET/train/images\crazing\crazing_30.jpg,crazing,30
165,../NEU-DET/train/images\crazing\crazing_31.jpg,crazing,31
166,../NEU-DET/train/images\crazing\crazing_32.jpg,crazing,32
167,../NEU-DET/train/images\crazing\crazing_33.jpg,crazing,33
168,../NEU-DET/train/images\crazing\crazing_34.jpg,crazing,34
169,../NEU-DET/train/images\crazing\crazing_35.jpg,crazing,35
170,../NEU-DET/train/images\crazing\crazing_36.jpg,crazing,36
171,../NEU-DET/train/images\crazing\crazing_37.jpg,crazing,37
172,../NEU-DET/train/images\crazing\crazing_38.jpg,crazing,38
173,../NEU-DET/train/images\crazing\crazing_39.jpg,crazing,39
174,../NEU-DET/train/images\crazing\crazing_4.jpg,crazing,4
175,../NEU-DET/train/images\crazing\crazing_40.jpg,crazing,40
176,../NEU-DET/train/images\crazing\crazing_41.jpg,crazing,41
177,../NEU-DET/train/images\crazing\crazing_42.jpg,crazing,42
178,../NEU-DET/train/images\crazing\crazing_43.jpg,crazing,43
179,../NEU-DET/train/images\crazing\crazing_44.jpg,crazing,44
180,../NEU-DET/train/images\crazing\crazing_45.jpg,crazing,45
181,../NEU-DET/train/images\crazing\crazing_46.jpg,crazing,46
182,../NEU-DET/train/images\crazing\crazing_47.jpg,crazing,47
183,../NEU-DET/train/images\crazing\crazing_48.jpg,crazing,48
184,../NEU-DET/train/images\crazing\crazing_49.jpg,crazing,49
185,../NEU-DET/train/images\crazing\crazing_5.jpg,crazing,5
186,../NEU-DET/train/images\crazing\crazing_50.jpg,crazing,50
187,../NEU-DET/train/images\crazing\crazing_51.jpg,crazing,51
188,../NEU-DET/train/images\crazing\crazing_52.jpg,crazing,52
189,../NEU-DET/train/images\crazing\crazing_53.jpg,crazing,53
190,../NEU-DET/train/images\crazing\crazing_54.jpg,crazing,54
191,../NEU-DET/train/images\crazing\crazing_55.jpg,crazing,55
192,../NEU-DET/train/images\crazing\crazing_56.jpg,crazing,56
193,../NEU-DET/train/images\crazing\crazing_57.jpg,crazing,57
194,../NEU-DET/train/images\crazing\crazing_58.jpg,crazing,58
195,../NEU-DET/train/images\crazing\crazing_59.jpg,crazing,59
196,../NEU-DET/train/images\crazing\crazing_6.jpg,crazing,6
197,../NEU-DET/train/images\crazing\crazing_60.jpg,crazing,60
198,../NEU-DET/train/images\crazing\crazing_61.jpg,crazing,61
199,../NEU-DET/train/images\crazing\crazing_62.jpg,crazing,62
200,../NEU-DET/train/images\crazing\crazing_63.jpg,crazing,63
201,../NEU-DET/train/images\crazing\crazing_64.jpg,crazing,64
202,../NEU-DET/train/images\crazing\crazing_65.jpg,crazing,65
203,../NEU-DET/train/images\crazing\crazing_66.jpg,crazing,66
204,../NEU-DET/train/images\crazing\crazing_67.jpg,crazing,67
205,../NEU-DET/train/images\crazing\crazing_68.jpg,crazing,68
206,../NEU-DET/train/images\crazing\crazing_69.jpg,crazing,69
207,../NEU-DET/train/images\crazing\crazing_7.jpg,crazing,7
208,../NEU-DET/train/images\crazing\crazing_70.jpg,crazing,70
209,../NEU-DET/train/images\crazing\crazing_71.jpg,crazing,71
210,../NEU-DET/train/images\crazing\crazing_72.jpg,crazing,72
211,../NEU-DET/train/images\crazing\crazing_73.jpg,crazing,73
212,../NEU-DET/train/images\crazing\crazing_74.jpg,crazing,74
213,../NEU-DET/train/images\crazing\crazing_75.jpg,crazing,75
214,../NEU-DET/train/images\crazing\crazing_76.jpg,crazing,76
215,../NEU-DET/train/images\crazing\crazing_77.jpg,crazing,77
216,../NEU-DET/train/images\crazing\crazing_78.jpg,crazing,78
217,../NEU-DET/train/images\crazing\crazing_79.jpg,crazing,79
218,../NEU-DET/train/images\crazing\crazing_8.jpg,crazing,8
219,../NEU-DET/train/images\crazing\crazing_80.jpg,crazing,80
220,../NEU-DET/train/images\crazing\crazing_81.jpg,crazing,81
221,../NEU-DET/train/images\crazing\crazing_82.jpg,crazing,82
222,../NEU-DET/train/images\crazing\crazing_83.jpg,crazing,83
223,../NEU-DET/train/images\crazing\crazing_84.jpg,crazing,84
224,../NEU-DET/train/images\crazing\crazing_85.jpg,crazing,85
225,../NEU-DET/train/images\crazing\crazing_86.jpg,crazing,86
226,../NEU-DET/train/images\crazing\crazing_87.jpg,crazing,87
227,../NEU-DET/train/images\crazing\crazing_88.jpg,crazing,88
228,../NEU-DET/train/images\crazing\crazing_89.jpg,crazing,89
229,../NEU-DET/train/images\crazing\crazing_9.jpg,crazing,9
230,../NEU-DET/train/images\crazing\crazing_90.jpg,crazing,90
231,../NEU-DET/train/images\crazing\crazing_91.jpg,crazing,91
232,../NEU-DET/train/images\crazing\crazing_92.jpg,crazing,92
233,../NEU-DET/train/images\crazing\crazing_93.jpg,crazing,93
234,../NEU-DET/train/images\crazing\crazing_94.jpg,crazing,94
235,../NEU-DET/train/images\crazing\crazing_95.jpg,crazing,95
236,../NEU-DET/train/images\crazing\crazing_96.jpg,crazing,96
237,../NEU-DET/train/images\crazing\crazing_97.jpg,crazing,97
238,../NEU-DET/train/images\crazing\crazing_98.jpg,crazing,98
239,../NEU-DET/train/images\crazing\crazing_99.jpg,crazing,99
240,../NEU-DET/train/images\inclusion\inclusion_1.jpg,inclusion,1
241,../NEU-DET/train/images\inclusion\inclusion_10.jpg,inclusion,10
242,../NEU-DET/train/images\inclusion\inclusion_100.jpg,inclusion,100
243,../NEU-DET/train/images\inclusion\inclusion_101.jpg,inclusion,101
244,../NEU-DET/train/images\inclusion\inclusion_102.jpg,inclusion,102
245,../NEU-DET/train/images\inclusion\inclusion_103.jpg,inclusion,103
246,../NEU-DET/train/images\inclusion\inclusion_104.jpg,inclusion,104
247,../NEU-DET/train/images\inclusion\inclusion_105.jpg,inclusion,105
248,../NEU-DET/train/images\inclusion\inclusion_106.jpg,inclusion,106
249,../NEU-DET/train/images\inclusion\inclusion_107.jpg,inclusion,107
250,../NEU-DET/train/images\inclusion\inclusion_108.jpg,inclusion,108
251,../NEU-DET/train/images\inclusion\inclusion_109.jpg,inclusion,109
252,../NEU-DET/train/images\inclusion\inclusion_11.jpg,inclusion,11
253,../NEU-DET/train/images\inclusion\inclusion_110.jpg,inclusion,110
254,../NEU-DET/train/images\inclusion\inclusion_111.jpg,inclusion,111
255,../NEU-DET/train/images\inclusion\inclusion_112.jpg,inclusion,112
256,../NEU-DET/train/images\inclusion\inclusion_113.jpg,inclusion,113
257,../NEU-DET/train/images\inclusion\inclusion_114.jpg,inclusion,114
258,../NEU-DET/train/images\inclusion\inclusion_115.jpg,inclusion,115
259,../NEU-DET/train/images\inclusion\inclusion_116.jpg,inclusion,116
260,../NEU-DET/train/images\inclusion\inclusion_117.jpg,inclusion,117
261,../NEU-DET/train/images\inclusion\inclusion_118.jpg,inclusion,118
262,../NEU-DET/train/images\inclusion\inclusion_119.jpg,inclusion,119
263,../NEU-DET/train/images\inclusion\inclusion_12.jpg,inclusion,12
264,../NEU-DET/train/images\inclusion\inclusion_120.jpg,inclusion,120
265,../NEU-DET/train/images\inclusion\inclusion_121.jpg,inclusion,121
266,../NEU-DET/train/images\inclusion\inclusion_122.jpg,inclusion,122
267,../NEU-DET/train/images\inclusion\inclusion_123.jpg,inclusion,123
268,../NEU-DET/train/images\inclusion\inclusion_124.jpg,inclusion,124
269,../NEU-DET/train/images\inclusion\inclusion_125.jpg,inclusion,125
270,../NEU-DET/train/images\inclusion\inclusion_126.jpg,inclusion,126
271,../NEU-DET/train/images\inclusion\inclusion_127.jpg,inclusion,127
272,../NEU-DET/train/images\inclusion\inclusion_128.jpg,inclusion,128
273,../NEU-DET/train/images\inclusion\inclusion_129.jpg,inclusion,129
274,../NEU-DET/train/images\inclusion\inclusion_13.jpg,inclusion,13
275,../NEU-DET/train/images\inclusion\inclusion_130.jpg,inclusion,130
276,../NEU-DET/train/images\inclusion\inclusion_131.jpg,inclusion,131
277,../NEU-DET/train/images\inclusion\inclusion_132.jpg,inclusion,132
278,../NEU-DET/train/images\inclusion\inclusion_133.jpg,inclusion,133
279,../NEU-DET/train/images\inclusion\inclusion_134.jpg,inclusion,134
280,../NEU-DET/train/images\inclusion\inclusion_135.jpg,inclusion,135
281,../NEU-DET/train/images\inclusion\inclusion_136.jpg,inclusion,136
282,../NEU-DET/train/images\inclusion\inclusion_137.jpg,inclusion,137
283,../NEU-DET/train/images\inclusion\inclusion_138.jpg,inclusion,138
284,../NEU-DET/train/images\inclusion\inclusion_139.jpg,inclusion,139
285,../NEU-DET/train/images\inclusion\inclusion_14.jpg,inclusion,14
286,../NEU-DET/train/images\inclusion\inclusion_140.jpg,inclusion,140
287,../NEU-DET/train/images\inclusion\inclusion_141.jpg,inclusion,141
288,../NEU-DET/train/images\inclusion\inclusion_142.jpg,inclusion,142
289,../NEU-DET/train/images\inclusion\inclusion_143.jpg,inclusion,143
290,../NEU-DET/train/images\inclusion\inclusion_144.jpg,inclusion,144
291,../NEU-DET/train/images\inclusion\inclusion_145.jpg,inclusion,145
292,../NEU-DET/train/images\inclusion\inclusion_146.jpg,inclusion,146
293,../NEU-DET/train/images\inclusion\inclusion_147.jpg,inclusion,147
294,../NEU-DET/train/images\inclusion\inclusion_148.jpg,inclusion,148
295,../NEU-DET/train/images\inclusion\inclusion_149.jpg,inclusion,149
296,../NEU-DET/train/images\inclusion\inclusion_15.jpg,inclusion,15
297,../NEU-DET/train/images\inclusion\inclusion_150.jpg,inclusion,150
298,../NEU-DET/train/images\inclusion\inclusion_151.jpg,inclusion,151
299,../NEU-DET/train/images\inclusion\inclusion_152.jpg,inclusion,152
300,../NEU-DET/train/images\inclusion\inclusion_153.jpg,inclusion,153
301,../NEU-DET/train/images\inclusion\inclusion_154.jpg,inclusion,154
302,../NEU-DET/train/images\inclusion\inclusion_155.jpg,inclusion,155
303,../NEU-DET/train/images\inclusion\inclusion_156.jpg,inclusion,156
304,../NEU-DET/train/images\inclusion\inclusion_157.jpg,inclusion,157
305,../NEU-DET/train/images\inclusion\inclusion_158.jpg,inclusion,158
306,../NEU-DET/train/images\inclusion\inclusion_159.jpg,inclusion,159
307,../NEU-DET/train/images\inclusion\inclusion_16.jpg,inclusion,16
308,../NEU-DET/train/images\inclusion\inclusion_160.jpg,inclusion,160
309,../NEU-DET/train/images\inclusion\inclusion_161.jpg,inclusion,161
310,../NEU-DET/train/images\inclusion\inclusion_162.jpg,inclusion,162
311,../NEU-DET/train/images\inclusion\inclusion_163.jpg,inclusion,163
312,../NEU-DET/train/images\inclusion\inclusion_164.jpg,inclusion,164
313,../NEU-DET/train/images\inclusion\inclusion_165.jpg,inclusion,165
314,../NEU-DET/train/images\inclusion\inclusion_166.jpg,inclusion,166
315,../NEU-DET/train/images\inclusion\inclusion_167.jpg,inclusion,167
316,../NEU-DET/train/images\inclusion\inclusion_168.jpg,inclusion,168
317,../NEU-DET/train/images\inclusion\inclusion_169.jpg,inclusion,169
318,../NEU-DET/train/images\inclusion\inclusion_17.jpg,inclusion,17
319,../NEU-DET/train/images\inclusion\inclusion_170.jpg,inclusion,170
320,../NEU-DET/train/images\inclusion\inclusion_171.jpg,inclusion,171
321,../NEU-DET/train/images\inclusion\inclusion_172.jpg,inclusion,172
322,../NEU-DET/train/images\inclusion\inclusion_173.jpg,inclusion,173
323,../NEU-DET/train/images\inclusion\inclusion_174.jpg,inclusion,174
324,../NEU-DET/train/images\inclusion\inclusion_175.jpg,inclusion,175
325,../NEU-DET/train/images\inclusion\inclusion_176.jpg,inclusion,176
326,../NEU-DET/train/images\inclusion\inclusion_177.jpg,inclusion,177
327,../NEU-DET/train/images\inclusion\inclusion_178.jpg,inclusion,178
328,../NEU-DET/train/images\inclusion\inclusion_179.jpg,inclusion,179
329,../NEU-DET/train/images\inclusion\inclusion_18.jpg,inclusion,18
330,../NEU-DET/train/images\inclusion\inclusion_180.jpg,inclusion,180
331,../NEU-DET/train/images\inclusion\inclusion_181.jpg,inclusion,181
332,../NEU-DET/train/images\inclusion\inclusion_182.jpg,inclusion,182
333,../NEU-DET/train/images\inclusion\inclusion_183.jpg,inclusion,183
334,../NEU-DET/train/images\inclusion\inclusion_184.jpg,inclusion,184
335,../NEU-DET/train/images\inclusion\inclusion_185.jpg,inclusion,185
336,../NEU-DET/train/images\inclusion\inclusion_186.jpg,inclusion,186
337,../NEU-DET/train/images\inclusion\inclusion_187.jpg,inclusion,187
338,../NEU-DET/train/images\inclusion\inclusion_188.jpg,inclusion,188
339,../NEU-DET/train/images\inclusion\inclusion_189.jpg,inclusion,189
340,../NEU-DET/train/images\inclusion\inclusion_19.jpg,inclusion,19
341,../NEU-DET/train/images\inclusion\inclusion_190.jpg,inclusion,190
342,../NEU-DET/train/images\inclusion\inclusion_191.jpg,inclusion,191
343,../NEU-DET/train/images\inclusion\inclusion_192.jpg,inclusion,192
344,../NEU-DET/train/images\inclusion\inclusion_193.jpg,inclusion,193
345,../NEU-DET/train/images\inclusion\inclusion_194.jpg,inclusion,194
346,../NEU-DET/train/images\inclusion\inclusion_195.jpg,inclusion,195
347,../NEU-DET/train/images\inclusion\inclusion_196.jpg,inclusion,196
348,../NEU-DET/train/images\inclusion\inclusion_197.jpg,inclusion,197
349,../NEU-DET/train/images\inclusion\inclusion_198.jpg,inclusion,198
350,../NEU-DET/train/images\inclusion\inclusion_199.jpg,inclusion,199
351,../NEU-DET/train/images\inclusion\inclusion_2.jpg,inclusion,2
352,../NEU-DET/train/images\inclusion\inclusion_20.jpg,inclusion,20
353,../NEU-DET/train/images\inclusion\inclusion_200.jpg,inclusion,200
354,../NEU-DET/train/images\inclusion\inclusion_201.jpg,inclusion,201
355,../NEU-DET/train/images\inclusion\inclusion_202.jpg,inclusion,202
356,../NEU-DET/train/images\inclusion\inclusion_203.jpg,inclusion,203
357,../NEU-DET/train/images\inclusion\inclusion_204.jpg,inclusion,204
358,../NEU-DET/train/images\inclusion\inclusion_205.jpg,inclusion,205
359,../NEU-DET/train/images\inclusion\inclusion_206.jpg,inclusion,206
360,../NEU-DET/train/images\inclusion\inclusion_207.jpg,inclusion,207
361,../NEU-DET/train/images\inclusion\inclusion_208.jpg,inclusion,208
362,../NEU-DET/train/images\inclusion\inclusion_209.jpg,inclusion,209
363,../NEU-DET/train/images\inclusion\inclusion_21.jpg,inclusion,21
364,../NEU-DET/train/images\inclusion\inclusion_210.jpg,inclusion,210
365,../NEU-DET/train/images\inclusion\inclusion_211.jpg,inclusion,211
366,../NEU-DET/train/images\inclusion\inclusion_212.jpg,inclusion,212
367,../NEU-DET/train/images\inclusion\inclusion_213.jpg,inclusion,213
368,../NEU-DET/train/images\inclusion\inclusion_214.jpg,inclusion,214
369,../NEU-DET/train/images\inclusion\inclusion_215.jpg,inclusion,215
370,../NEU-DET/train/images\inclusion\inclusion_216.jpg,inclusion,216
371,../NEU-DET/train/images\inclusion\inclusion_217.jpg,inclusion,217
372,../NEU-DET/train/images\inclusion\inclusion_218.jpg,inclusion,218
373,../NEU-DET/train/images\inclusion\inclusion_219.jpg,inclusion,219
374,../NEU-DET/train/images\inclusion\inclusion_22.jpg,inclusion,22
375,../NEU-DET/train/images\inclusion\inclusion_220.jpg,inclusion,220
376,../NEU-DET/train/images\inclusion\inclusion_221.jpg,inclusion,221
377,../NEU-DET/train/images\inclusion\inclusion_222.jpg,inclusion,222
378,../NEU-DET/train/images\inclusion\inclusion_223.jpg,inclusion,223
379,../NEU-DET/train/images\inclusion\inclusion_224.jpg,inclusion,224
380,../NEU-DET/train/images\inclusion\inclusion_225.jpg,inclusion,225
381,../NEU-DET/train/images\inclusion\inclusion_226.jpg,inclusion,226
382,../NEU-DET/train/images\inclusion\inclusion_227.jpg,inclusion,227
383,../NEU-DET/train/images\inclusion\inclusion_228.jpg,inclusion,228
384,../NEU-DET/train/images\inclusion\inclusion_229.jpg,inclusion,229
385,../NEU-DET/train/images\inclusion\inclusion_23.jpg,inclusion,23
386,../NEU-DET/train/images\inclusion\inclusion_230.jpg,inclusion,230
387,../NEU-DET/train/images\inclusion\inclusion_231.jpg,inclusion,231
388,../NEU-DET/train/images\inclusion\inclusion_232.jpg,inclusion,232
389,../NEU-DET/train/images\inclusion\inclusion_233.jpg,inclusion,233
390,../NEU-DET/train/images\inclusion\inclusion_234.jpg,inclusion,234
391,../NEU-DET/train/images\inclusion\inclusion_235.jpg,inclusion,235
392,../NEU-DET/train/images\inclusion\inclusion_236.jpg,inclusion,236
393,../NEU-DET/train/images\inclusion\inclusion_237.jpg,inclusion,237
394,../NEU-DET/train/images\inclusion\inclusion_238.jpg,inclusion,238
395,../NEU-DET/train/images\inclusion\inclusion_239.jpg,inclusion,239
396,../NEU-DET/train/images\inclusion\inclusion_24.jpg,inclusion,24
